run_id,run_time,remove_duplicates,vocab_size,tokenizer_num_words,batch_size,embedding_size,hidden_size,dropout,recurrent_dropout,learning_rate_start,train_size,val_size,train_tensor_shape,val_tensor_shape,epoch,loss,val_loss,learning_rate,max_len,clipnorm
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",10,1.911067247390747,2.7062666416168213,0.0002500000118743,,
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",1,2.929091691970825,2.723476886749268,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",2,2.6392624378204346,2.5859150886535645,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",3,2.469966173171997,2.50765323638916,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",4,2.325882911682129,2.4647204875946045,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",5,2.2023494243621826,2.437772274017334,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",6,2.0950605869293213,2.417778730392456,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",7,1.999385952949524,2.4024317264556885,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",8,1.911481499671936,2.391987562179565,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",9,1.831535816192627,2.386646032333374,0.0005000000237487,17.0,1.0
20260316_075308,2026-03-16 07:53:08,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",10,1.757602572441101,2.3838064670562744,0.0005000000237487,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",1,2.929091691970825,2.7234768867492676,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",2,2.6392624378204346,2.5859150886535645,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",3,2.469966173171997,2.50765323638916,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",4,2.325882911682129,2.4647204875946045,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",5,2.2023494243621826,2.437772274017334,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",6,2.0950605869293213,2.417778730392456,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",7,1.999385952949524,2.4024317264556885,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",8,1.911481499671936,2.3919875621795654,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",9,1.831535816192627,2.386646032333374,0.0005000000237487257,17.0,1.0
20260316_075326,2026-03-16 07:53:26,False,12001,12000,32,256,1024,0.2,0.0,0.0005,130335,32584,"(130335, 16)","(32584, 16)",10,1.757602572441101,2.3838064670562744,0.0005000000237487257,17.0,1.0
